image_path,location,image_id,plotNumber,device,range,row,experiment,block,percentUnhealthy,segmentation_method,excluded,poundsOfNitrogenPerAcre,population,genotype,score_A,score_B,comment_A,comment_B
data/ne2025/device1/1224_LeafPhotoA_2025-09-08 10_04_48.677-05_00.jpg,NE,1224_LeafPhotoA_2025-09-08 10_04_48.677,1224,1,6,26,SbDiv 2025,1,0.02,CV2,FALSE,90,NA,Check,NA,NA,NA,NA
data/ne2025/device1/1224_LeafPhotoA_2025-09-08 10_05_08.517-05_00.jpg,NE,1224_LeafPhotoA_2025-09-08 10_05_08.517,1224,1,6,26,SbDiv 2025,1,0.06,CV2,FALSE,90,NA,Check,NA,NA,NA,NA
data/ne2025/device1/1225_LeafPhotoA_2025-09-08 10_05_53.630-05_00.jpg,NE,1225_LeafPhotoA_2025-09-08 10_05_53.630,1225,1,6,27,SbDiv 2025,1,4.28,CV2,FALSE,90,NA,SC0965,NA,NA,NA,NA
data/ne2025/device1/1225_LeafPhotoA_2025-09-08 10_06_05.269-05_00.jpg,NE,1225_LeafPhotoA_2025-09-08 10_06_05.269,1225,1,6,27,SbDiv 2025,1,3.95,CV2,FALSE,90,NA,SC0965,NA,NA,NA,NA
data/ne2025/device1/1226_LeafPhotoA_2025-09-08 10_07_41.534-05_00.jpg,NE,1226_LeafPhotoA_2025-09-08 10_07_41.534,1226,1,6,28,SbDiv 2025,1,0.15,CV2,FALSE,90,NA,Check,NA,NA,NA,NA
data/ne2025/device1/1226_LeafPhotoA_2025-09-08 10_07_58.660-05_00.jpg,NE,1226_LeafPhotoA_2025-09-08 10_07_58.660,1226,1,6,28,SbDiv 2025,1,0.08,CV2,FALSE,90,NA,Check,NA,NA,NA,NA
data/ne2025/device1/1226_LeafPhotoA_2025-09-08 10_08_53.325-05_00.jpg,NE,1226_LeafPhotoA_2025-09-08 10_08_53.325,1226,1,6,28,SbDiv 2025,1,0.15,CV2,FALSE,90,NA,Check,NA,NA,NA,NA
data/ne2025/device1/1227_LeafPhotoA_2025-09-08 10_09_23.405-05_00.jpg,NE,1227_LeafPhotoA_2025-09-08 10_09_23.405,1227,1,6,29,SbDiv 2025,1,0.31,CV2,FALSE,90,NA,PI595710,2,2.5,NA,NA
data/ne2025/device1/1227_LeafPhotoA_2025-09-08 10_09_53.429-05_00.jpg,NE,1227_LeafPhotoA_2025-09-08 10_09_53.429,1227,1,6,29,SbDiv 2025,1,0.17,CV2,FALSE,90,NA,PI595710,NA,NA,NA,NA
data/ne2025/device1/1227_LeafPhotoA_2025-09-08 10_10_08.331-05_00.jpg,NE,1227_LeafPhotoA_2025-09-08 10_10_08.331,1227,1,6,29,SbDiv 2025,1,1.84,CV2,FALSE,90,NA,PI595710,NA,NA,NA,NA
data/ne2025/device1/1228_LeafPhotoA_2025-09-08 10_10_42.828-05_00.jpg,NE,1228_LeafPhotoA_2025-09-08 10_10_42.828,1228,1,6,30,SbDiv 2025,1,0.11,CV2,FALSE,90,NA,PI576351,NA,NA,NA,NA
data/ne2025/device1/1228_LeafPhotoA_2025-09-08 10_11_20.554-05_00.jpg,NE,1228_LeafPhotoA_2025-09-08 10_11_20.554,1228,1,6,30,SbDiv 2025,1,0.04,CV2,FALSE,90,NA,PI576351,NA,NA,NA,NA
data/ne2025/device1/1228_LeafPhotoA_2025-09-08 10_11_36.583-05_00.jpg,NE,1228_LeafPhotoA_2025-09-08 10_11_36.583,1228,1,6,30,SbDiv 2025,1,0.24,CV2,FALSE,90,NA,PI576351,NA,NA,NA,NA
data/ne2025/device1/1229_LeafPhotoA_2025-09-08 10_12_28.613-05_00.jpg,NE,1229_LeafPhotoA_2025-09-08 10_12_28.613,1229,1,6,31,SbDiv 2025,1,0.29,CV2,FALSE,90,NA,PI656077,NA,NA,NA,NA
