image_path,ExG_P20_disease_pct
250113_LeafPhotoA_2025-10-01 10_32_50.315-05_00_leaf.png,8.83
250113_LeafPhotoA_2025-10-01 10_33_00.453-05_00_leaf.png,0.71
250114_LeafPhotoA_2025-10-01 10_31_20.482-05_00_leaf.png,7.75
250114_LeafPhotoA_2025-10-01 10_31_32.736-05_00_leaf.png,1.88
250114_LeafPhotoA_2025-10-01 10_31_47.548-05_00_leaf.png,3.58
250115_LeafPhotoA_2025-10-01 10_29_26.127-05_00_leaf.png,9.29
250115_LeafPhotoA_2025-10-01 10_30_13.976-05_00_leaf.png,9.62
250115_LeafPhotoA_2025-10-01 10_30_30.839-05_00_leaf.png,21.21
250116_LeafPhotoA_2025-10-01 10_20_09.965-05_00_leaf.png,7.95
250116_LeafPhotoA_2025-10-01 10_20_20.660-05_00_leaf.png,5.95
250116_LeafPhotoA_2025-10-01 10_20_31.895-05_00_leaf.png,1.68
250117_LeafPhotoA_2025-10-01 10_19_21.742-05_00_leaf.png,17.23
250117_LeafPhotoA_2025-10-01 10_19_33.425-05_00_leaf.png,9.79
250118_LeafPhotoA_2025-10-01 10_17_58.877-05_00_leaf.png,25.34
250118_LeafPhotoA_2025-10-01 10_18_15.453-05_00_leaf.png,1.08
250118_LeafPhotoA_2025-10-01 10_18_26.057-05_00_leaf.png,2.27
250120_LeafPhotoA_2025-10-01 10_16_23.406-05_00_leaf.png,0.18
250120_LeafPhotoA_2025-10-01 10_16_32.818-05_00_leaf.png,8
250121_LeafPhotoA_2025-10-01 10_15_24.403-05_00_leaf.png,5.53
250121_LeafPhotoA_2025-10-01 10_15_33.907-05_00_leaf.png,9.48
