image_path,pctd,plotNumber
1093_LeafPhotoA_2025-09-09 11_04_37.753-05_00_leaf.png,18.24,1093
1093_LeafPhotoA_2025-09-09 11_04_59.658-05_00_leaf.png,39.02,1093
1093_LeafPhotoA_2025-09-09 11_05_22.909-05_00_leaf.png,11.64,1093
1094_LeafPhotoA_2025-09-09 11_05_53.371-05_00_leaf.png,0.9,1094
1094_LeafPhotoA_2025-09-09 11_06_06.446-05_00_leaf.png,0.16,1094
1094_LeafPhotoA_2025-09-09 11_06_18.391-05_00_leaf.png,1,1094
1095_LeafPhotoA_2025-09-09 11_06_35.078-05_00_leaf.png,0.16,1095
1095_LeafPhotoA_2025-09-09 11_06_50.542-05_00_leaf.png,0.03,1095
1095_LeafPhotoA_2025-09-09 11_07_02.101-05_00_leaf.png,0.03,1095
1096_LeafPhotoA_2025-09-09 11_07_15.232-05_00_leaf.png,0,1096
1096_LeafPhotoA_2025-09-09 11_07_25.616-05_00_leaf.png,0.38,1096
1096_LeafPhotoA_2025-09-09 11_07_36.920-05_00_leaf.png,0.02,1096
1097_LeafPhotoA_2025-09-09 11_08_07.840-05_00_leaf.png,0.06,1097
1097_LeafPhotoA_2025-09-09 11_08_19.632-05_00_leaf.png,0.12,1097
1097_LeafPhotoA_2025-09-09 11_08_30.235-05_00_leaf.png,0.18,1097
1098_LeafPhotoA_2025-09-09 11_08_50.010-05_00_leaf.png,0.04,1098
1098_LeafPhotoA_2025-09-09 11_09_08.326-05_00_leaf.png,0.38,1098
1098_LeafPhotoA_2025-09-09 11_09_21.218-05_00_leaf.png,0.12,1098
1099_LeafPhotoA_2025-09-08 12_37_28.231-05_00_leaf.png,0.02,1099
1099_LeafPhotoA_2025-09-08 12_38_16.189-05_00_leaf.png,0.1,1099
1099_LeafPhotoA_2025-09-08 12_38_29.235-05_00_leaf.png,0.12,1099
1100_LeafPhotoA_2025-09-08 12_40_34.567-05_00_leaf.png,9.41,1100
1100_LeafPhotoA_2025-09-08 12_40_55.551-05_00_leaf.png,1.45,1100
1100_LeafPhotoA_2025-09-08 12_41_10.019-05_00_leaf.png,2.21,1100
1101_LeafPhotoA_2025-09-08 10_49_46.896-05_00_leaf.png,0.03,1101
1101_LeafPhotoA_2025-09-08 10_50_13.286-05_00_leaf.png,6.42,1101
1101_LeafPhotoA_2025-09-08 10_50_38.365-05_00_leaf.png,0.14,1101
1102_LeafPhotoA_2025-09-08 10_51_28.648-05_00_leaf.png,0.17,1102
1102_LeafPhotoA_2025-09-08 10_51_55.982-05_00_leaf.png,1.78,1102
1102_LeafPhotoA_2025-09-08 10_52_30.639-05_00_leaf.png,1.22,1102
1103_LeafPhotoA_2025-09-08 09_16_38.476-05_00_leaf.png,0.22,1103
1103_LeafPhotoA_2025-09-08 09_18_21.849-05_00_leaf.png,0.2,1103
1103_LeafPhotoA_2025-09-08 09_19_25.768-05_00_leaf.png,0.19,1103
1104_LeafPhotoA_2025-09-08 09_36_16.822-05_00_leaf.png,0,1104
1104_LeafPhotoA_2025-09-08 09_36_42.090-05_00_leaf.png,0,1104
1104_LeafPhotoA_2025-09-08 09_37_08.525-05_00_leaf.png,0,1104
1105_LeafPhotoA_2025-09-08 09_38_06.236-05_00_leaf.png,0,1105
1105_LeafPhotoA_2025-09-08 09_38_45.129-05_00_leaf.png,1.01,1105
1105_LeafPhotoA_2025-09-08 09_39_17.312-05_00_leaf.png,0.07,1105
1106_LeafPhotoA_2025-09-08 09_40_25.771-05_00_leaf.png,2.27,1106
1106_LeafPhotoA_2025-09-08 09_40_59.164-05_00_masked.png,5.62,1106
1106_LeafPhotoA_2025-09-08 09_41_24.337-05_00_leaf.png,4.8,1106
1107_LeafPhotoA_2025-09-08 09_44_03.594-05_00_leaf.png,0.02,1107
1108_LeafPhotoA_2025-09-08 09_44_49.552-05_00_leaf.png,0.39,1108
1108_LeafPhotoA_2025-09-08 09_45_17.923-05_00_leaf.png,0.22,1108
1108_LeafPhotoA_2025-09-08 09_45_37.921-05_00_leaf.png,0.15,1108
1109_LeafPhotoA_2025-09-08 09_47_24.655-05_00_leaf.png,0.46,1109
1109_LeafPhotoA_2025-09-08 09_47_58.332-05_00_leaf.png,0.3,1109
1109_LeafPhotoA_2025-09-08 09_48_18.960-05_00_leaf.png,0.31,1109
1110_LeafPhotoA_2025-09-08 09_48_54.489-05_00_leaf.png,0.25,1110
