"S.No","Plot No","Accession","Replication","Population","height","color","lodging","flowering","insect damage","picture_test","Picture_fieldbook_default","plants","type","rust score","audio","location","gnss","GoPro","angle","Picture_android","notes","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"716","250153","PI 659753","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"253","250154","PI 533902","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"344","250155","PI 548797","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"653","250156","PI 656041","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"277","250157","PI 533964","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"464","250158","PI 576339","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"233","250159","PI 533833","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"635","250160","PI 656017","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"256","250161","PI 533911","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250161_LeafPhotoA_2025-10-01%2009_31_20.398-05_00.jpg",,,,
"546","250162","PI 597980","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250162_LeafPhotoA_2025-10-01%2009_32_34.415-05_00.jpg",,,,
"491","250163","PI 576426","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250163_LeafPhotoA_2025-10-01%2009_34_05.872-05_00.jpg",,,,
"479","250164","PI 576386","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250164_LeafPhotoA_2025-10-01%2009_35_22.574-05_00.jpg",,,,
"243","250165","PI 533863","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250165_LeafPhotoA_2025-10-01%2009_36_46.717-05_00.jpg",,,,
"631","250166","PI 656012","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250166_LeafPhotoA_2025-10-01%2009_37_57.691-05_00.jpg",,,,
"267","250167","PI 533940","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250167_LeafPhotoA_2025-10-01%2009_39_56.606-05_00.jpg",,,,
"309","250168","PI 534105","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250168_LeafPhotoA_2025-10-01%2009_41_16.759-05_00.jpg",,,,
"627","250169","PI 656008","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250169_LeafPhotoA_2025-10-01%2009_42_16.057-05_00.jpg",,,,
"610","250170","PI 655989","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250170_LeafPhotoA_2025-10-01%2009_43_50.748-05_00.jpg",,,,
