"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"448","251309","PI570106","Rep 2","BAP",,,,,,,,
"2","251310","PI19770","Rep 2","BAP",,,,,,,,
"74","251311","PI196586","Rep 2","BAP",,,,,,,,
"587","251312","PI651493","Rep 2","BAP",,,,,,,,
"177","251313","PI365512","Rep 2","BAP",,,,,,,,
"121","251314","PI329471","Rep 2","BAP",,,,,,,,
"102","251315","PI302252","Rep 2","BAP",,,,,,,,
"183","251316","PI453177","Rep 2","BAP",,,,,,,,
"112","251317","PI329326","Rep 2","BAP",,,,,,,,
"192","251318","PI505735","Rep 2","BAP",,,,,,,,
"19","251319","PI152694","Rep 2","BAP",,,,,,,,
"87","251320","PI255239","Rep 2","BAP",,,,,,,,
"145","251321","PI329618","Rep 2","BAP",,,,,,,,
"143","251322","PI329615","Rep 2","BAP",,,,,,,,
"346","251323","PI550604","Rep 2","BAP",,,,,,,,
"186","251324","PI455221","Rep 2","BAP",,,,,,,,
"116","251325","PI329403","Rep 2","BAP",,,,,,,,
"142","251326","PI329614","Rep 2","BAP",,,,,,,,
"334","251327","PI535783","Rep 2","BAP",,,,,,,,
"209","251328","PI526905","Rep 2","BAP",,,,,,,,
"24","251329","PI152751","Rep 2","BAP",,,,,,,,
"506","251330","PI585577","Rep 2","BAP",,,,,,,,
"44","251331","PI155516","Rep 2","BAP",,,,,,,,
"338","251332","PI535795","Rep 2","BAP",,,,,,,,
"18","251333","PI152651","Rep 2","BAP",,,,,,,,
"32","251334","PI152965","Rep 2","BAP",,,,,,,,
"31","251335","PI152963","Rep 2","BAP",,,,,,,,
"22","251336","PI152730","Rep 2","BAP",,,,,,,,
"169","251337","PI330199","Rep 2","BAP",,,,,,,,
"48","251338","PI156203","Rep 2","BAP",,,,,,,,
"392","251339","PI563350","Rep 2","BAP",,,,,,,,
"81","251340","PI226096","Rep 2","BAP",,,,,,,,
"202","251341","PI513898","Rep 2","BAP",,,,,,,,
"21","251342","PI152728","Rep 2","BAP",,,,,,,,
"40","251343","PI154944","Rep 2","BAP",,,,,,,,
"438","251344","PI570071","Rep 2","BAP",,,,,,,,
"57","251345","PI156890","Rep 2","BAP",,,,,,,,
"163","251346","PI330181","Rep 2","BAP",,,,,,,,
"452","251347","PI570145","Rep 2","BAP",,,,,,,,
"375","251348","PI562994","Rep 2","BAP",,,,,,,,
"114","251349","PI329338","Rep 2","BAP",,,,,,,,
"38","251350","PI154844","Rep 2","BAP",,,,,,,,
"198","251351","PI511355","Rep 2","BAP",,,,,,,,
"93","251352","PI273465","Rep 2","BAP",,,,,,,,
"440","251353","PI570074","Rep 2","BAP",,,,,,,,
"365","251354","PI562781","Rep 2","BAP",,,,,,,,
"105","251355","PI329286","Rep 2","BAP",,,,,,,,
"425","251356","PI569457","Rep 2","BAP",,,,,,,,
"570","251357","PI641860","Rep 2","BAP",,,,,,,,
"153","251358","PI329702","Rep 2","BAP",,,,,,,,
"144","251359","PI329617","Rep 2","BAP",,,,,,,,
"130","251360","PI329519","Rep 2","BAP",,,,,,,,
"553","251361","PI619838","Rep 2","BAP",,,,,,,,
"78","251362","PI218112","Rep 2","BAP",,,,,,,,
"184","251363","PI453696","Rep 2","BAP",,,,,,,,
"126","251364","PI329510","Rep 2","BAP",,,,,,,,
"427","251365","PI569459","Rep 2","BAP",,,,,,,,
"370","251366","PI562981","Rep 2","BAP",,,,,,,,
"402","251367","PI569148","Rep 2","BAP",,,,,,,,
"369","251368","PI562971","Rep 2","BAP",,,,,,,,
"50","251369","PI156268","Rep 2","BAP",,,,,,,,
"412","251370","PI569425","Rep 2","BAP",,,,,,,,
"47","251371","PI156018","Rep 2","BAP",,,,,,,,
"562","251372","PI641824","Rep 2","BAP",,,,,,,,
"45","251373","PI155760","Rep 2","BAP",,,,,,,,
"17","251374","PI147224","Rep 2","BAP",,,,,,,,
"387","251375","PI563330","Rep 2","BAP",,,,,,,,
"409","251376","PI569421","Rep 2","BAP",,,,,,,,
"203","251377","PI521019","Rep 2","BAP",,,,,,,,
"447","251378","PI570096","Rep 2","BAP",,,,,,,,
"332","251379","PI534165","Rep 2","BAP",,,,,,,,
"391","251380","PI563348","Rep 2","BAP",,,,,,,,
"15","251381","PI145633","Rep 2","BAP",,,,,,,,
"56","251382","PI156871","Rep 2","BAP",,,,,,,,
"117","251383","PI329435","Rep 2","BAP",,,,,,,,
"561","251384","PI641821","Rep 2","BAP",,,,,,,,
