"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"404","250764","PI569264","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250764_LeafPhotoA_2025-10-07%2014_31_41.208-05_00.jpg","2025-10-07 14:31:43.172-05:00"," ","","3","SM-A166U1"
"17","250765","PI147224","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250765_LeafPhotoA_2025-10-07%2014_32_12.958-05_00.jpg","2025-10-07 14:32:15.072-05:00"," ","","1","SM-A166U1"
"17","250765","PI147224","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250765_LeafPhotoA_2025-10-07%2014_32_24.956-05_00.jpg","2025-10-07 14:32:27.145-05:00"," ","","2","SM-A166U1"
"17","250765","PI147224","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250765_LeafPhotoA_2025-10-07%2014_32_37.822-05_00.jpg","2025-10-07 14:32:40.046-05:00"," ","","3","SM-A166U1"
"88","250766","PI255744","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250766_LeafPhotoA_2025-10-07%2014_33_05.139-05_00.jpg","2025-10-07 14:33:07.394-05:00"," ","","1","SM-A166U1"
"88","250766","PI255744","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250766_LeafPhotoA_2025-10-07%2014_33_20.649-05_00.jpg","2025-10-07 14:33:22.802-05:00"," ","","2","SM-A166U1"
"88","250766","PI255744","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250766_LeafPhotoA_2025-10-07%2014_33_33.617-05_00.jpg","2025-10-07 14:33:35.783-05:00"," ","","3","SM-A166U1"
"173","250767","PI330833","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250767_LeafPhotoA_2025-10-07%2014_34_03.393-05_00.jpg","2025-10-07 14:34:05.560-05:00"," ","","1","SM-A166U1"
"173","250767","PI330833","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250767_LeafPhotoA_2025-10-07%2014_34_19.139-05_00.jpg","2025-10-07 14:34:21.271-05:00"," ","","2","SM-A166U1"
"173","250767","PI330833","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250767_LeafPhotoA_2025-10-07%2014_34_32.620-05_00.jpg","2025-10-07 14:34:34.719-05:00"," ","","3","SM-A166U1"
