image_path,segmentation_method
data/aamu2025/block2/21218_LeafPhotoA_2025-10-24 12_10_15.445-05_00.jpg,CV2
data/aamu2025/block2/20316_LeafPhotoA_2025-10-23 12_10_46.508-05_00.jpg,CV2
data/aamu2025/block2/20108_LeafPhotoA_2025-10-23 10_51_12.753-05_00.jpg,CV2
data/aamu2025/block2/20319_LeafPhotoA_2025-10-23 12_13_40.613-05_00.jpg,CV2
data/aamu2025/block2/20303_LeafPhotoA_2025-10-23 11_55_43.315-05_00.jpg,CV2
data/aamu2025/block2/21306_LeafPhotoA_2025-10-24 14_19_22.328-05_00.jpg,CV2
data/aamu2025/block2/20821_LeafPhotoA_2025-10-24 10_13_04.709-05_00.jpg,CV2
data/aamu2025/block2/21310_LeafPhotoA_2025-10-24 14_26_24.559-05_00.jpg,SAM3
data/aamu2025/block2/21004_LeafPhotoA_2025-10-24 11_01_29.802-05_00.jpg,CV2
data/aamu2025/block2/20421_LeafPhotoA_2025-10-23 14_18_10.867-05_00.jpg,CV2
data/aamu2025/block2/20809_LeafPhotoA_2025-10-24 09_56_06.917-05_00.jpg,CV2
data/aamu2025/block2/20812_LeafPhotoA_2025-10-24 09_58_26.304-05_00.jpg,CV2
data/aamu2025/block2/21301_LeafPhotoA_2025-10-24 14_12_07.801-05_00.jpg,CV2
data/aamu2025/block2/20227_LeafPhotoA_2025-10-23 11_49_36.615-05_00.jpg,CV2
data/aamu2025/block2/21426_LeafPhotoA_2025-10-24 15_03_52.144-05_00.jpg,CV2
data/aamu2025/block2/20425_LeafPhotoA_2025-10-23 14_21_36.557-05_00.jpg,CV2
data/aamu2025/block2/20818_LeafPhotoA_2025-10-24 10_08_29.856-05_00.jpg,CV2
data/aamu2025/block2/21014_LeafPhotoA_2025-10-24 11_10_34.177-05_00.jpg,CV2
data/aamu2025/block2/20623_LeafPhotoA_2025-10-23 15_02_25.057-05_00.jpg,CV2
data/aamu2025/block2/21323_LeafPhotoA_2025-10-24 14_38_01.755-05_00.jpg,CV2
data/aamu2025/block2/20520_LeafPhotoA_2025-10-23 14_37_36.552-05_00.jpg,CV2
data/aamu2025/block2/20223_LeafPhotoA_2025-10-23 11_44_24.652-05_00.jpg,CV2
