image_path,ExG_P20_disease_pct
10425_LeafPhotoA_2025-10-23 14_51_56.867-05_00_leaf.png,19.35
10425_LeafPhotoA_2025-10-23 14_52_20.236-05_00_leaf.png,7.69
10425_LeafPhotoA_2025-10-23 14_52_48.645-05_00_leaf.png,0.01
10426_LeafPhotoA_2025-10-23 14_53_25.154-05_00_leaf.png,3.65
10426_LeafPhotoA_2025-10-23 14_53_51.731-05_00_leaf.png,5.07
10426_LeafPhotoA_2025-10-23 14_54_29.584-05_00_leaf.png,0.64
10427_LeafPhotoA_2025-10-23 14_54_59.383-05_00_leaf.png,58.94
10427_LeafPhotoA_2025-10-23 14_55_14.248-05_00_leaf.png,2.5
10427_LeafPhotoA_2025-10-23 14_55_34.314-05_00_leaf.png,21.82
10501_LeafPhotoA_2025-10-23 14_57_39.358-05_00_leaf.png,30.77
10501_LeafPhotoA_2025-10-23 14_57_51.991-05_00_leaf.png,33.4
10502_LeafPhotoA_2025-10-23 14_58_42.793-05_00_leaf.png,10.05
10502_LeafPhotoA_2025-10-23 14_58_56.273-05_00_leaf.png,24.19
10502_LeafPhotoA_2025-10-23 14_59_12.094-05_00_leaf.png,16.59
10503_LeafPhotoA_2025-10-23 15_00_38.179-05_00_leaf.png,7.1
10503_LeafPhotoA_2025-10-23 15_00_54.544-05_00_leaf.png,22.21
10503_LeafPhotoA_2025-10-23 15_01_10.437-05_00_leaf.png,8.26
10504_LeafPhotoA_2025-10-23 15_02_00.677-05_00_leaf.png,0
10504_LeafPhotoA_2025-10-23 15_02_14.743-05_00_leaf.png,5.26
10504_LeafPhotoA_2025-10-23 15_02_40.442-05_00_leaf.png,0.06
10505_LeafPhotoA_2025-10-23 15_03_07.099-05_00_leaf.png,5.75
10505_LeafPhotoA_2025-10-23 15_03_28.194-05_00_leaf.png,18.07
10505_LeafPhotoA_2025-10-23 15_03_51.926-05_00_leaf.png,10.29
10506_LeafPhotoA_2025-10-23 15_04_39.897-05_00_leaf.png,16.8
10506_LeafPhotoA_2025-10-23 15_04_56.488-05_00_leaf.png,2.79
10506_LeafPhotoA_2025-10-23 15_05_22.249-05_00_leaf.png,2.58
10507_LeafPhotoA_2025-10-23 15_07_49.389-05_00_leaf.png,2.02
10507_LeafPhotoA_2025-10-23 15_08_06.350-05_00_leaf.png,6.51
10507_LeafPhotoA_2025-10-23 15_08_36.477-05_00_leaf.png,1.87
10508_LeafPhotoA_2025-10-23 15_09_18.009-05_00_leaf.png,6.51
10508_LeafPhotoA_2025-10-23 15_09_33.157-05_00_leaf.png,0
10508_LeafPhotoA_2025-10-23 15_09_54.803-05_00_leaf.png,0.05
10509_LeafPhotoA_2025-10-23 15_10_55.002-05_00_leaf.png,0
10509_LeafPhotoA_2025-10-23 15_11_12.169-05_00_leaf.png,0
10509_LeafPhotoA_2025-10-23 15_11_37.026-05_00_leaf.png,0
10510_LeafPhotoA_2025-10-23 15_12_22.006-05_00_leaf.png,29.89
10510_LeafPhotoA_2025-10-23 15_12_45.090-05_00_leaf.png,7.28
10510_LeafPhotoA_2025-10-23 15_13_09.830-05_00_leaf.png,9.55
10511_LeafPhotoA_2025-10-23 15_13_50.465-05_00_leaf.png,66.34
10511_LeafPhotoA_2025-10-23 15_14_07.485-05_00_leaf.png,3.26
10511_LeafPhotoA_2025-10-23 15_14_29.751-05_00_leaf.png,4.21
10512_LeafPhotoA_2025-10-23 15_15_04.752-05_00_leaf.png,13.55
10512_LeafPhotoA_2025-10-23 15_15_21.744-05_00_leaf.png,0.01
10512_LeafPhotoA_2025-10-23 15_15_47.104-05_00_leaf.png,1.06
10513_LeafPhotoA_2025-10-23 15_16_16.840-05_00_leaf.png,27.13
10513_LeafPhotoA_2025-10-23 15_16_37.568-05_00_leaf.png,61.55
10513_LeafPhotoA_2025-10-23 15_16_58.333-05_00_leaf.png,19.52
10514_LeafPhotoA_2025-10-23 15_17_36.200-05_00_leaf.png,3.23
10514_LeafPhotoA_2025-10-23 15_17_55.577-05_00_leaf.png,1.97
10514_LeafPhotoA_2025-10-23 15_18_24.178-05_00_leaf.png,2.28
10515_LeafPhotoA_2025-10-23 15_18_54.154-05_00_leaf.png,0.02
10515_LeafPhotoA_2025-10-23 15_19_15.012-05_00_leaf.png,0.37
10515_LeafPhotoA_2025-10-23 15_19_31.029-05_00_leaf.png,0.6
10516_LeafPhotoA_2025-10-23 15_20_13.783-05_00_leaf.png,0.13
10516_LeafPhotoA_2025-10-23 15_20_32.656-05_00_leaf.png,0
10516_LeafPhotoA_2025-10-23 15_20_46.332-05_00_leaf.png,0
10517_LeafPhotoA_2025-10-23 15_24_15.125-05_00_leaf.png,51.73
10517_LeafPhotoA_2025-10-23 15_24_31.174-05_00_leaf.png,26.61
10517_LeafPhotoA_2025-10-23 15_24_51.374-05_00_leaf.png,14.35
10518_LeafPhotoA_2025-10-23 15_25_25.669-05_00_leaf.png,1.51
10518_LeafPhotoA_2025-10-23 15_25_48.226-05_00_leaf.png,36.45
10518_LeafPhotoA_2025-10-23 15_26_19.006-05_00_leaf.png,11.58
10520_LeafPhotoA_2025-10-23 15_32_59.267-05_00_leaf.png,5.53
10520_LeafPhotoA_2025-10-23 15_33_19.783-05_00_leaf.png,10.87
10520_LeafPhotoA_2025-10-23 15_33_36.438-05_00_leaf.png,4.36
10521_LeafPhotoA_2025-10-23 15_34_02.901-05_00_leaf.png,0.85
10521_LeafPhotoA_2025-10-23 15_34_24.107-05_00_leaf.png,0
10521_LeafPhotoA_2025-10-23 15_34_39.267-05_00_leaf.png,0
10522_LeafPhotoA_2025-10-23 15_35_03.783-05_00_leaf.png,2.47
10522_LeafPhotoA_2025-10-23 15_35_26.313-05_00_leaf.png,0
10522_LeafPhotoA_2025-10-23 15_35_45.914-05_00_leaf.png,8.41
10523_LeafPhotoA_2025-10-23 15_36_09.151-05_00_leaf.png,0
10523_LeafPhotoA_2025-10-23 15_36_24.386-05_00_leaf.png,3.11
10523_LeafPhotoA_2025-10-23 15_36_40.013-05_00_leaf.png,3.36
10524_LeafPhotoA_2025-10-23 15_37_06.575-05_00_leaf.png,45.48
10524_LeafPhotoA_2025-10-23 15_37_26.732-05_00_leaf.png,0.21
10524_LeafPhotoA_2025-10-23 15_37_48.052-05_00_leaf.png,0.33
10525_LeafPhotoA_2025-10-23 15_38_14.487-05_00_leaf.png,2.23
10525_LeafPhotoA_2025-10-23 15_38_31.738-05_00_leaf.png,10.58
