plotNumber,Rep,date,genotype,A,B,score_average,Comment
2884,2,828,PI 534059,3,2.5,2.75,
2885,2,828,Check,2.5,2.5,2.5,
2886,2,828,PI 595748,3,3,3,
2887,2,828,PI 533970,2.5,2,2.25,
2888,2,828,PI 534026,4,4,4,
2889,2,828,PI 576347,5,5,5,
2890,2,828,PI 595702,4.5,5,4.75,
2891,2,828,PI 533872,1.5,2,1.75,
2892,2,828,PI 533842,3,4.5,3.75,
2893,2,828,PI 534166,4.5,4.5,4.5,
2894,2,828,PI 597949,5,5,5,
2895,2,828,PI 597970,4.5,5,4.75,
2896,2,828,PI 561073,,,,nothing
2897,2,828,PI 655979,2.5,2,2.25,
2898,2,828,PI 597967,1.5,2,1.75,
2899,2,828,PI 597981,3.5,2.5,3,
2900,2,828,PI 655973,3,3,3,
2901,2,828,PI 533908,4,4.5,4.25,
2902,2,828,Check,3,3,3,
2903,2,828,PI 534117,4,3,3.5,
2904,2,828,PI 595716,2,2,2,
2905,2,828,PI 534076,4,5,4.5,
2906,2,828,PI 642998,5,4.5,4.75,
2907,2,828,PI 534028,3.5,4.5,4,
2908,2,828,PI 533999,3,3.5,3.25,
2909,2,828,PI 534005,4,4,4,
2910,2,828,Check,3,3,3,
2911,2,828,PI 597960,2.5,2,2.25,
2912,2,828,Check,2.5,3,2.75,
2913,2,828,PI 656116,5,5,5,
2914,2,828,PI 534027,5,5,5,
2915,2,828,PI 533906,3,2,2.5,
2916,2,828,PI 576422,2.5,2.5,2.5,
2917,2,828,PI 597968,2.5,2,2.25,
2918,2,828,PI 533838,5,4.5,4.75,
2919,2,828,Check,2,2,2,
2920,2,828,PI 533750,2,2.5,2.25,
2921,2,828,PI 595744,3.5,4,3.75,
2922,2,828,PI 656093,2,1.5,1.75,
2923,2,828,SC0343,3,3.5,3.25,
2924,2,828,PI 576426,3.5,4,3.75,
2925,2,828,Check,3,3,3,
2926,2,828,PI 534070,4,2.5,3.25,
2927,2,828,PI 595724,5,4.5,4.75,
2928,2,828,Check,3.5,3.5,3.5,
2929,2,828,PI 533972,2.5,2.5,2.5,
2930,2,828,PI 533758,4,3.5,3.75,
2931,2,828,PI 534138,4,4.5,4.25,
2932,2,828,PI 534104,3,2,2.5,
2933,2,828,PI 595739,1.5,2,1.75,
2934,2,828,PI 533960,3,3,3,
2935,2,828,PI 576400,4,3.5,3.75,
2936,2,828,PI 17548,5,5,5,
2937,2,828,SC0400,3.5,3,3.25,
2938,2,828,SC1023,4,4,4,
2939,2,828,PI 533987,4,4,4,
2940,2,828,PI 533913,4.5,5,4.75,
2941,2,828,Check,3,3.5,3.25,
2942,2,828,PI 533828,5,5,5,
2943,2,828,PI 22326,4.5,4,4.25,
2944,2,828,SC0287,5,5,5,
2945,2,828,PI 534017,2,1.5,1.75,
2946,2,828,PI 533769,2.5,2,2.25,
2947,2,828,SC0582,4,4,4,
2948,2,828,PI 533834,2.5,2,2.25,
2949,2,828,PI 533969,3,3,3,
2950,2,828,PI 576338,3.5,2.5,3,
2951,2,828,PI 534061,3,2,2.5,
2952,2,828,PI 533997,3,2,2.5,
2953,2,828,PI 534128,1.5,2,1.75,
2954,2,828,PI 656098,3.5,3,3.25,
2955,2,828,Check,3.5,3.5,3.5,
2956,2,828,PI 655997,2,2,2,
2957,2,828,PI 534139,3,2.5,2.75,
2958,2,828,PI 576393,2.5,3,2.75,
2959,2,828,PI 576418,4,4,4,
2960,2,828,PI 576329,4,3.5,3.75,
2961,2,828,PI 533955,4,3.5,3.75,
2962,2,828,PI 576336,4.5,3,3.75,
2963,2,828,PI 576430,4.5,3.5,4,
2964,2,828,Check,3,2.5,2.75,
2965,2,828,PI 533998,4,4.5,4.25,
2966,2,828,SC0191,5,5,5,
2967,2,828,Check,2.5,4,3.25,
2968,2,828,PI 533847,,5,5,
2969,2,828,PI 533931,5,5,5,
2970,2,828,PI 576402,5,5,5,
2971,2,828,PI 656079,4.5,4.5,4.5,
2972,2,828,BTx645,1,1.5,1.25,
2973,2,828,PI 595710,4,4,4,
2974,2,828,PI 534093,5,5,5,
2975,2,828,SC0236,3.5,4.5,4,
2976,2,828,PI 533797,3.5,3,3.25,
2977,2,828,PI 533803,4,4,4,
2978,2,828,PI 533871,2.5,4.5,3.5,
2979,2,828,PI 533909,3.5,3,3.25,
2980,2,828,PI 533856,4,4,4,
2981,2,828,PI 656033,,,,3 plants
2982,2,828,PI 534031,5,5,5,
2983,2,828,PI 576362,4,4.5,4.25,
2984,2,828,PI 534079,3.5,3.5,3.5,
2985,2,828,PI 533967,1.5,1.5,1.5,
2986,2,828,PI 534141,3.5,3,3.25,
2987,2,828,PI 534101,3,3,3,
2988,2,828,PI 576390,5,5,5,
2989,2,828,SC0521,5,5,5,
2990,2,828,PI 534042,5,5,5,
2991,2,828,PI 533854,5,5,5,
2992,2,828,PI 534011,5,4.5,4.75,
2993,2,828,PI 576381,3,2.5,2.75,
2994,2,828,PI 576432,3.5,4,3.75,
2995,2,828,PI 576363,4,3,3.5,
2996,2,828,PI 534145,5,4.5,4.75,
2997,2,828,PI 656042,4,4,4,
2998,2,828,SC0713,3.5,2.5,3,
2999,2,828,PI 534050,3,3.5,3.25,
